000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
00004614, DCU_Heartbeat_dummydata, 0
00004614, DCU_Heartbeat_dummydata, 0
00004614, DCU_Heartbeat_dummydata, 0
00004614, DCU_Heartbeat_dummydata, 0
000047BF, AMS_PackVoltage, 523.96
000047BF, AMS_PackVoltage, 523.96
000047BF, AMS_PackVoltage, 523.96
000047BF, AMS_PackVoltage, 523.96
000047BF, AMS_PackVoltage, 523.96
000049F9, DCU_Heartbeat_dummydata, 0
00004A1C, BMU_Heartbeat_dummydata, 0
00004A1D, FanPeriod, 0
000049F9, DCU_Heartbeat_dummydata, 0
00004A1C, BMU_Heartbeat_dummydata, 0
00004A1D, FanPeriod, 0
000049F9, DCU_Heartbeat_dummydata, 0
00004A1C, BMU_Heartbeat_dummydata, 0
00004A1D, FanPeriod, 0
000049F9, DCU_Heartbeat_dummydata, 0
00004A1C, BMU_Heartbeat_dummydata, 0
00004A1D, FanPeriod, 0
00004BC6, AMS_PackVoltage, 523.97
00004BC6, StateBatteryChargeHV, 90.2
00004BC6, StateBatteryHealthHV, 0.0
00004BC6, StateBatteryPowerHV, 100.80000000000001
00004BC6, TempCellMax, 24.75
00004BC6, TempCellMin, 20.25
00004BC6, StateBMS, Wait_System_Up
00004BC6, AMS_PackVoltage, 523.97
00004BC6, StateBatteryChargeHV, 90.2
00004BC6, StateBatteryHealthHV, 0.0
00004BC6, StateBatteryPowerHV, 100.80000000000001
00004BC6, TempCellMax, 24.75
00004BC6, TempCellMin, 20.25
00004BC6, StateBMS, Wait_System_Up
00004BC6, AMS_PackVoltage, 523.97
00004BC6, StateBatteryChargeHV, 90.2
00004BC6, StateBatteryHealthHV, 0.0
00004BC6, StateBatteryPowerHV, 100.80000000000001
00004BC6, TempCellMax, 24.75
00004BC6, TempCellMin, 20.25
00004BC6, StateBMS, Wait_System_Up
00004BC6, AMS_PackVoltage, 523.97
00004BC6, StateBatteryChargeHV, 90.2
00004BC6, StateBatteryHealthHV, 0.0
00004BC6, StateBatteryPowerHV, 100.80000000000001
00004BC6, TempCellMax, 24.75
00004BC6, TempCellMin, 20.25
00004BC6, StateBMS, Wait_System_Up
00004BC6, AMS_PackVoltage, 523.97
00004BC6, StateBatteryChargeHV, 90.2
00004BC6, StateBatteryHealthHV, 0.0
00004BC6, StateBatteryPowerHV, 100.80000000000001
00004BC6, TempCellMax, 24.75
00004BC6, TempCellMin, 20.25
00004BC6, StateBMS, Wait_System_Up
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
00004DDF, DCU_Heartbeat_dummydata, 0
000051D1, DCU_Heartbeat_dummydata, 0
000051D1, DCU_Heartbeat_dummydata, 0
000052B3, VoltageCellMuxSelect, 1
000052B3, VoltageCell04, 3.7089000000000003
000052B3, VoltageCell05, 3.7086
000052B3, VoltageCell06, 3.7095000000000002
000052B5, AdjustedVoltageCellMuxSelect, 1
000052B5, AdjustedVoltageCell04, 3.7089000000000003
000052B5, AdjustedVoltageCell05, 3.7086
000052B5, AdjustedVoltageCell06, 3.7095000000000002
0000536A, VoltageBusHV, 0.0
0000536A, VoltageCellMax, 3.9094
0000536A, VoltageCellMin, 3.6988000000000003
0000536A, CurrentBusHV, 0.0
0000536A, VoltageBusHV, 0.0
0000536A, VoltageCellMax, 3.9094
0000536A, VoltageCellMin, 3.6988000000000003
0000536A, CurrentBusHV, 0.0
0000536A, VoltageBusHV, 0.0
0000536A, VoltageCellMax, 3.9094
0000536A, VoltageCellMin, 3.6988000000000003
0000536A, CurrentBusHV, 0.0
0000536A, VoltageBusHV, 0.0
0000536A, VoltageCellMax, 3.9094
0000536A, VoltageCellMin, 3.6988000000000003
0000536A, CurrentBusHV, 0.0
0000536A, VoltageBusHV, 0.0
0000536A, VoltageCellMax, 3.9094
0000536A, VoltageCellMin, 3.6988000000000003
0000536A, CurrentBusHV, 0.0
000055B2, DCU_Heartbeat_dummydata, 0
000055D3, BMU_Heartbeat_dummydata, 0
0000563D, VoltageBusHV, 0.0
0000563D, VoltageCellMax, 3.9094
0000563D, VoltageCellMin, 3.6996
0000563D, CurrentBusHV, 0.0
0000563D, TempChannelMuxSelect, 19
0000563D, TempChannel58, 20.480000000000004
0000563D, TempChannel59, 20.480000000000004
0000563D, TempChannel60, 20.480000000000004
0000563E, AMS_PackVoltage, 523.96
0000563D, VoltageBusHV, 0.0
0000563D, VoltageCellMax, 3.9094
0000563D, VoltageCellMin, 3.6996
0000563D, CurrentBusHV, 0.0
0000563D, TempChannelMuxSelect, 19
0000563D, TempChannel58, 20.480000000000004
0000563D, TempChannel59, 20.480000000000004
0000563D, TempChannel60, 20.480000000000004
0000563E, AMS_PackVoltage, 523.96
0000563D, VoltageBusHV, 0.0
0000563D, VoltageCellMax, 3.9094
0000563D, VoltageCellMin, 3.6996
0000563D, CurrentBusHV, 0.0
0000563D, TempChannelMuxSelect, 19
0000563D, TempChannel58, 20.480000000000004
0000563D, TempChannel59, 20.480000000000004
0000563D, TempChannel60, 20.480000000000004
0000563E, AMS_PackVoltage, 523.96
0000563D, VoltageBusHV, 0.0
0000563D, VoltageCellMax, 3.9094
0000563D, VoltageCellMin, 3.6996
0000563D, CurrentBusHV, 0.0
0000563D, TempChannelMuxSelect, 19
0000563D, TempChannel58, 20.480000000000004
0000563D, TempChannel59, 20.480000000000004
0000563D, TempChannel60, 20.480000000000004
0000563E, AMS_PackVoltage, 523.96
00005841, AMS_PackVoltage, 523.97
00005841, AMS_PackVoltage, 523.97
00005911, AMS_PackVoltage, 523.96
000059C1, DCU_Heartbeat_dummydata, 0
000059DE, AMS_PackVoltage, 523.96
000059C1, DCU_Heartbeat_dummydata, 0
000059DE, AMS_PackVoltage, 523.96
000059C1, DCU_Heartbeat_dummydata, 0
000059DE, AMS_PackVoltage, 523.96
000059C1, DCU_Heartbeat_dummydata, 0
000059DE, AMS_PackVoltage, 523.96
00005BE2, AMS_PackVoltage, 523.96
00005BE2, AMS_PackVoltage, 523.96
00005BE2, AMS_PackVoltage, 523.96
00005BE2, AMS_PackVoltage, 523.96
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00005D82, DCU_Heartbeat_dummydata, 0
00005DA4, BMU_Heartbeat_dummydata, 0
00006169, DCU_Heartbeat_dummydata, 0
00006169, DCU_Heartbeat_dummydata, 0
00006169, DCU_Heartbeat_dummydata, 0
00006169, DCU_Heartbeat_dummydata, 0
