000003AF, FRSpeedKPH, 0.0
000003AF, TempChannelMuxSelect, 19
000003AF, TempChannel58, 21.61
000003AF, TempChannel59, 21.61
000003AF, TempChannel60, 21.61
000003B1, TCTorqueMax, 3.392
000003B1, TCLeftSlip, -0.999
000003B1, TCRightSlip, -0.999
000003B1, TCTorqueAdjustment, 0.0
000003B2, ThrottlePercent, 0
000003B2, BrakePercent, 8
000003B2, brakePressure, 10
000003B2, SteeringAngle, -102
000003B2, BrakeWhileThrottle, 0
000003CC, BMU_Heartbeat_dummydata, 0
000003CC, BrakePressureBMU, 479.0
000003CC, FanPeriod, -112
000003CD, VoltageCellMuxSelect, 20
000003CD, VoltageCell61, 3.7148000000000003
000003CD, VoltageCell62, 3.7242
000003CD, VoltageCell63, 3.7255000000000003
000003CE, AdjustedVoltageCellMuxSelect, 20
000003CE, AdjustedVoltageCell61, 3.7141
000003CE, AdjustedVoltageCell62, 3.7242
000003CE, AdjustedVoltageCell63, 3.7254
000003D0, VCU_wheelSpeed_RL, 0.0
000003D0, VCU_wheelSpeed_RR, 0.0
000003E4, TempChannelMuxSelect, 20
000003E4, TempChannel61, 21.61
000003E4, TempChannel62, 21.61
000003E4, TempChannel63, 0.0
000003E4, RLSpeedKPH, 0.0
000003E4, RRSpeedKPH, 0.0
000003E4, FLSpeedKPH, 0.0
000003E4, FRSpeedKPH, 0.0
000003E4, TCTorqueMax, 3.392
000003E4, TCLeftSlip, -0.999
000003E4, TCRightSlip, -0.999
000003E4, TCTorqueAdjustment, 0.0
000003E4, VCU_Heartbeat_dummydata, 0
000003E4, ThrottlePercent, 0
000003E4, BrakePercent, 8
000003E4, brakePressure, 10
000003E4, SteeringAngle, -102
000003E4, BrakeWhileThrottle, 0
000003EB, VoltageBusHV, 0.01
000003EB, VoltageCellMax, 3.9129
000003EB, VoltageCellMin, 3.6944000000000004
000003EB, CurrentBusHV, 0.0
000003EC, AMS_PackVoltage, 525.58
000003F3, VCU_wheelSpeed_RL, 0.0
000003F3, VCU_wheelSpeed_RR, 0.0
000003F5, RLSpeedKPH, 0.0
000003F5, RRSpeedKPH, 0.0
000003F5, FLSpeedKPH, 0.0
000003F5, FRSpeedKPH, 0.0
000003F7, TCTorqueMax, 3.392
000003F7, TCLeftSlip, -0.999
000003F7, TCRightSlip, -0.999
000003F7, TCTorqueAdjustment, 0.0
000003FE, VoltageBusLV, 12148
000003FE, CurrentBusLV, 355
00000416, ThrottlePercent, 0
00000416, BrakePercent, 10
00000416, brakePressure, 10
00000416, SteeringAngle, -102
00000416, BrakeWhileThrottle, 0
00000416, VCU_wheelSpeed_RL, 0.0
00000416, VCU_wheelSpeed_RR, 0.0
00000418, RLSpeedKPH, 0.0
00000418, RRSpeedKPH, 0.0
00000418, FLSpeedKPH, 0.0
00000418, FRSpeedKPH, 0.0
0000041A, TCTorqueMax, 3.392
0000041A, TCLeftSlip, -0.999
0000041A, TCRightSlip, -0.999
0000041A, TCTorqueAdjustment, 0.0
00000439, VCU_wheelSpeed_RL, 0.0
00000439, VCU_wheelSpeed_RR, 0.0
0000043B, RLSpeedKPH, 0.0
0000043B, RRSpeedKPH, 0.0
0000043B, FLSpeedKPH, 0.0
0000043B, FRSpeedKPH, 0.0
0000043D, TCTorqueMax, 3.392
0000043D, TCLeftSlip, -0.999
